,X,Date,Year,Time,Location,Operator,Route,AC.Type,Manufacturer,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Summary,Coordinates,Latitude,Longitude,Country,Country coordinates,Location_Status
11,11,10/01/1916,1916,23:45,"Potters Bar, England",Military - German Navy,,Zeppelin L-31 (airship),Zeppelin,,,19.0,0.0,19.0,19,0.0,19.0,0.0,Shot down in flames by the British 39th Home Defence Squadron.,"(51.692886, -0.192891)",51.692886,-0.192891,United Kingdom,United Kingdom,correct location
12,12,11/21/1916,1916,,"Mainz, Germany",Military - German Army,,Super Zeppelin (airship),Other,,,28.0,,,27,,,0.0,Crashed in a storm.,"(49.997895, 8.253032)",49.997895,8.253032,Germany,Germany,correct location
13,13,11/28/1916,1916,23:45,"West Hartlepool, England",Military - German Navy,,Zeppelin L-34 (airship),Zeppelin,,,20.0,,,20,,,0.0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,"(54.693274, -1.223038)",54.693274,-1.223038,United Kingdom,United Kingdom,correct location
14,14,03/04/1917,1917,,"Gent, Belgium",Military - German Army,,Airship,Other,,,20.0,,,20,,,0.0,Caught fire and crashed.,"(51.057496, 3.732703)",51.057496,3.732703,Belgium,Belgium,correct location
15,15,03/30/1917,1917,,Northern Germany,Military - German Navy,,Schutte-Lanz S-L-9 (airship),Other,,,23.0,,,23,,,0.0,Struck by lightning and crashed into the Baltic Sea.,"(50.970097, 9.687096)",50.970097,9.687096,Northern Germany,Germany,not correct location
16,16,05/14/1917,1917,05:15,"Texel Island, North Sea",Military - German Navy,,Zeppelin L-22 (airship),Zeppelin,,,21.0,,,21,,,0.0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.","(64.779262, -18.673522)",64.779262,-18.673522,North Sea,Iceland,not correct location
17,17,06/14/1917,1917,08:45,"Vlieland Island, North Sea",Military - German Navy,,Zeppelin L-43 (airship),Zeppelin,,,24.0,,,24,,,0.0,Shot down by British aircraft.,"(64.779262, -18.673522)",64.779262,-18.673522,North Sea,Iceland,not correct location
18,18,06/17/1917,1917,,"Yarmouth, England",,,Zepplin LZ-95 (air ship),Zeppelin,L-48,,16.0,,,14,,,0.0,Shot down by aircraft.,"(43.836285, -66.082128)",43.836285,-66.082128,United Kingdom,Canada,not correct location
19,19,08/21/1917,1917,07:00,western Denmark,Military - German Navy,,Zeppelin L-23 (airship),Zeppelin,,,18.0,,,18,,,0.0,Shot down by British aircraft.,"(55.966966, 9.018163)",55.966966,9.018163,western Denmark,Denmark,not correct location
20,20,10/20/1917,1917,07:45,"Luneville, France",Military - German Navy,,Zeppelin L-44 (airship),Zeppelin,,,18.0,,,18,,,0.0,Shot down by French anti-aircraft fire.,"(48.589904, 6.500118)",48.589904,6.500118,France,France,correct location
21,21,04/07/1918,1918,21:30,Mediterranean,Military - German Navy,,Zeppelin L-59 (airship),Zeppelin,,,23.0,,,23,,,0.0,Exploded and crashed into the sea off the southern coast of Italy.,"(39.112414, -84.516668)",39.112414,-84.516668,Mediterranean,United States,not correct location
22,22,05/10/1918,1918,,"Helgoland Island, Germany",Military - German Navy,,Zeppelin L-70 (airship),Zeppelin,,,22.0,,,22,,,0.0,"Shot down by British aircraft crashing from a height of 17,000 ft.","(64.779262, -18.673522)",64.779262,-18.673522,Germany,Iceland,not correct location
23,23,08/11/1918,1918,10:00,"Ameland Island, North Sea",Military - German Navy,,Zeppelin L-53 (airship),Zeppelin,,,19.0,,,19,,,0.0,Shot down by british aircraft.,"(64.779262, -18.673522)",64.779262,-18.673522,North Sea,Iceland,not correct location
24,24,12/16/1918,1918,,"Elizabeth, New Jersey",US Aerial Mail Service,,De Havilland DH-4,deHavilland,97,,1.0,0.0,1.0,1,0.0,1.0,0.0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,"(40.666597, -74.186213)",40.666597,-74.186213,United States,United States,correct location
25,25,05/25/1919,1919,,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,deHavilland,61,,1.0,0.0,1.0,1,0.0,1.0,0.0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,"(41.496551, -81.651327)",41.496551,-81.651327,United States,United States,correct location
26,26,07/19/1919,1919,,"Dix Run, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,deHavilland,82,,1.0,0.0,1.0,1,0.0,1.0,0.0,The mail plane crashed under unknown circumstances.,"(42.452871, -85.688469)",42.452871,-85.688469,United States,United States,correct location
27,27,07/21/1919,1919,16:55,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,Shuttle,FD Type Dirigible,Other,,,,,,3,2.0,1.0,10.0," The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed","(41.87897, -87.66063)",41.87897,-87.66063,United States,United States,correct location
28,28,08/02/1919,1919,,"Verona, Italy",Caproni Company,Venice  Taliedo,Caproni Ca.48,Other,,,14.0,12.0,2.0,14,12.0,2.0,0.0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,"(45.413277, 10.977656)",45.413277,10.977656,Italy,Italy,correct location
29,29,10/02/1919,1919,,"Newcastle, England",Aircraft Transport and Travel,,De Havilland DH-4,deHavilland,,,1.0,0.0,1.0,1,0.0,1.0,0.0,,"(-27.729174, 29.934668)",-27.729174,29.934668,United Kingdom,South Africa,not correct location
31,31,10/20/1919,1919,,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,,De Havilland DH-4,deHavilland,G-EAHG,,0.0,0.0,1.0,0,0.0,0.0,0.0,Crashed into the sea while attempting to land in fog.,"(26.206054, 84.158442)",26.206054,84.158442,Kent,India,not correct location
32,32,10/30/1919,1919,,"Long Valley, New Jersey",US Aerial Mail Service,,De Havilland DH.4,deHavilland,77,77,1.0,0.0,1.0,1,0.0,1.0,0.0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.","(40.788276, -74.791371)",40.788276,-74.791371,United States,United States,correct location
34,34,03/10/1920,1920,,"New Paris, Indiana",US Aerial Mail Service,,De Havilland DH-4,deHavilland,65,,1.0,0.0,1.0,1,0.0,1.0,0.0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.","(40.12839, -83.95966)",40.12839,-83.95966,United States,United States,correct location
35,35,03/30/1920,1920,,"Newark, New Jersey",US Aerial Mail Service,Washington - Newark,De Havilland DH-4,deHavilland,72,,1.0,0.0,1.0,1,0.0,1.0,0.0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,"(40.718619, -74.185148)",40.718619,-74.185148,United States,United States,correct location
36,36,04/10/1920,1920,,"Newark, New Jersey",US Aerial Mail Service,,Curtiss R-4LM,Curtiss,49,,2.0,1.0,1.0,1,0.0,1.0,0.0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,"(40.718619, -74.185148)",40.718619,-74.185148,United States,United States,correct location
37,37,04/11/1920,1920,,"Heller Field, New Jersey",US Aerial Mail Service,,Curtiss JN-4H,Curtiss,44,,2.0,1.0,1.0,1,0.0,1.0,0.0,The aircraft crashed while on approach for unknown reasons.,"(51.925192, 7.407121)",51.925192,7.407121,United States,Germany,not correct location
38,38,05/12/1920,1920,,"Oskaloosa, Iowa",US Aerial Mail Service,,De Havilland DH-4,deHavilland,79,,2.0,1.0,1.0,1,1.0,0.0,0.0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.","(41.296373, -92.647379)",41.296373,-92.647379,United States,United States,correct location
39,39,06/06/1920,1920,,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,deHavilland,204,,1.0,0.0,1.0,1,0.0,1.0,0.0,The aircraft suffered engine failure and crashed shortly after taking off.,"(41.496551, -81.651327)",41.496551,-81.651327,United States,United States,correct location
40,40,07/20/1920,1920,,"Cartagena, Columbia",CompaÃ±ia Colombiana de NavegaciÃ³n AÃ©rea,,Farman F-40,Farman,,,1.0,1.0,1.0,1,1.0,1.0,0.0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,"(10.423583, -75.546862)",10.423583,-75.546862,Columbia,Colombia,not correct location
41,41,08/16/1920,1920,,"Bedford, England",By Air,,Armstrong-Whitworth F-K-8,Other,G-EALW,,1.0,0.0,1.0,1,0.0,1.0,0.0,The plane crashed during a cargo flight under unknown circumstances.,"(52.131228, -0.45503)",52.131228,-0.45503,United Kingdom,United Kingdom,correct location
42,42,08/16/1920,1920,,"College Park, Maryland",US Aerial Mail Service,,De Havilland DH-4,deHavilland,317,,1.0,0.0,1.0,1,0.0,1.0,0.0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.","(33.639297, -84.459095)",33.639297,-84.459095,United States,United States,correct location
43,43,09/01/1920,1920,,"Morristown, New Jersey",US Aerial Mail Service,,Junkers JL-6,Junkers,305,,2.0,0.0,2.0,2,0.0,2.0,0.0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.","(36.220856, -83.28423)",36.220856,-83.28423,United States,United States,correct location
44,44,09/15/1920,1920,,"Pemberville, Ohio",US Aerial Mail Service,,Junkers F-13,Junkers,308,,2.0,,,2,,,0.0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,"(41.409046, -83.459961)",41.409046,-83.459961,United States,United States,correct location
46,46,10/02/1920,1920,,"Port Vendres, France",Latecoere Airlines,,Salmson 2-A-2,Other,F-ALAI,31,2.0,1.0,1.0,2,1.0,1.0,0.0,Crashed into the Mediterranean while on a mail flight.,"(42.518399, 3.107051)",42.518399,3.107051,France,France,correct location
47,47,10/05/1920,1920,,"Valencia, Spain",Latecoere Airlines,,Breguet 14,Breguet,F-ALTA,20,2.0,1.0,1.0,2,1.0,1.0,0.0,While on a mail flight the plane crashed while attempting to land.,"(10.231927, -67.981967)",10.231927,-67.981967,Spain,Venezuela,not correct location
48,48,10/15/1920,1920,,"Batavia, Illinois",US Aerial Mail Service,,De Havilland DH-4,deHavilland,76,,1.0,0.0,1.0,1,0.0,1.0,0.0,While attempting to land in fog the aircraft hit an obstruction and crashed.,"(41.855656, -88.293785)",41.855656,-88.293785,United States,United States,correct location
49,49,11/07/1920,1920,,"Tie Siding, Wyoming",US Aerial Mail Service,,De Havilland DH-4,deHavilland,,178,1.0,0.0,1.0,1,0.0,1.0,0.0,The aircraft crashed into a mountain in poor weather condtions.,"(41.08026, -105.50749)",41.08026,-105.50749,United States,United States,correct location
50,50,12/14/1920,1920,12:15,"London, England",Handley Page Transport,London - Paris,Handley Page HP-16,Handley Page,G-EAMA,HP-25,8.0,6.0,2.0,4,2.0,2.0,0.0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,"(51.509648, -0.099076)",51.509648,-0.099076,United Kingdom,United Kingdom,correct location
51,51,12/24/1920,1920,,"Barcelona, Spain",Aeropostale,,Breguet 14,Breguet,F-ALBO,57,1.0,0.0,1.0,1,0.0,1.0,0.0,The aircraft stalled and crashed when an engine failed.,"(41.400347, 2.159592)",41.400347,2.159592,Spain,Spain,correct location
53,53,02/09/1921,1921,,"La Crosse, Wisconsin",US Aerial Mail Service,,Junkers F-13,Junkers,301,,3.0,0.0,3.0,3,0.0,3.0,0.0,Crashed for unknown reasons. Both pilots and the mechanic were killed.,"(43.808506, -91.242382)",43.808506,-91.242382,United States,United States,correct location
54,54,02/15/1921,1921,,Gibraltar,Aeropostale,,Breguet 14,Breguet,F-ALBA,,2.0,0.0,2.0,2,0.0,2.0,0.0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,"(36.136159, -5.348677)",36.136159,-5.348677,Gibraltar,Gibraltar,correct location
55,55,02/22/1921,1921,,"Elko, Nevada",US Aerial Mail Service,,De Havilland DH-4,deHavilland,67,,1.0,0.0,1.0,1,0.0,1.0,0.0,"Shortly after taking off, the aircraft stalled and crashed .","(40.832322, -115.770579)",40.832322,-115.770579,United States,United States,correct location
56,56,04/06/1921,1921,,"Point Cook, Australia",Military - Royal Australian Air Force,,  	 Avro 504,Avro,H3021,,2.0,0.0,0.0,2,0.0,0.0,0.0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.","(-37.90884, 144.752587)",-37.90884,144.752587,Australia,Australia,correct location
57,57,04/21/1921,1921,,"Mitchel Field, NY",US Aerial Mail Service,,De Havilland DH-4,deHavilland,160,,1.0,0.0,1.0,1,0.0,1.0,0.0,After taking off the aircraft stalled and crashed.,"(54.172053, -6.338251)",54.172053,-6.338251,NY,United Kingdom,not correct location
58,58,04/29/1921,1921,,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,deHavilland,196,,1.0,0.0,1.0,1,0.0,1.0,0.0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.","(41.496551, -81.651327)",41.496551,-81.651327,United States,United States,correct location
59,59,05/17/1921,1921,,"Rock Springs, Wyoming",US Aerial Mail Service,,De Havilland DH-4 De Havilland DH-4,deHavilland,176,,1.0,0.0,1.0,1,0.0,1.0,0.0,Crashed while attempting to land.,"(41.594274, -109.246355)",41.594274,-109.246355,United States,United States,correct location
60,60,08/14/1921,1921,,"Toulouse, France",Aeropostale,,Breguet 14,Breguet,F-ALBI,,2.0,,,2,,,0.0,,"(43.603902, 1.440694)",43.603902,1.440694,France,France,correct location
61,61,08/24/1921,1921,17:40,"River Humber, England",Military - Royal Airship Works,,Royal Airship Works ZR-2 (airship),Other,R-38,R-38,46.0,0.0,46.0,46,0.0,46.0,1.0,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,"(5.574595, 8.39357)",5.574595,8.39357,United Kingdom,Nigeria,not correct location
62,62,09/06/1921,1921,,"Paris, France",Franco-Roumaine,Warsaw - Prague - Strasbourg - Paris,Potez IX,Other,F-ADCD,160,5.0,4.0,1.0,5,4.0,1.0,0.0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,"(48.858705, 2.342865)",48.858705,2.342865,France,France,correct location
63,63,12/05/1921,1921,,"Murchinson River, Australia",West Australian Airways,Geraldton - Derby,Bristol 28 Tourer,Bristol,G-AUDI,6116,2.0,0.0,2.0,2,0.0,2.0,0.0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,"(30.727259, -98.39747)",30.727259,-98.39747,Australia,United States,not correct location
64,64,01/14/1922,1922,,"Paris, France",Handley Page Transport,,Handley Page O/10,Handley Page,G-EATN,HP-43,5.0,4.0,1.0,5,4.0,1.0,5.0,Crashed at Le Bourget field.,"(48.858705, 2.342865)",48.858705,2.342865,France,France,correct location
65,65,02/21/1922,1922,,"Norfolk, Virginia",Military - U.S. Army Air Service,,Dirigible Roma (airship),Other,,,45.0,,,34,,,0.0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,"(-29.033042, 167.954531)",-29.033042,167.954531,United States,Australia,not correct location
66,66,03/22/1922,1922,11:40,North Atlantic Ocean,Aero Limited,Miami - Bimini,Aeromarine Model 85 (flying boat),Other,,,6.0,5.0,1.0,5,5.0,0.0,0.0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.","(38.309137, -101.328273)",38.309137,-101.328273,North Atlantic Ocean,United States,not correct location
67,67,04/07/1922,1922,13:15,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,deHavilland,G-EAOW/FGEAD,4,7.0,5.0,2.0,7,5.0,2.0,0.0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.","(49.664295, 1.942836)",49.664295,1.942836,France,France,correct location
68,68,04/08/1922,1922,,"Pao Ting Fou, China",,Test,,Missing value,,,17.0,0.0,17.0,17,0.0,17.0,0.0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.,"(52.528443, 13.402443)",52.528443,13.402443,China,Germany,not correct location
69,69,06/03/1922,1922,,"Folkestone, Kent, England",Cie des Messageries Aeriennes,Croydon - Paris,Bleriot Spad 27,Bleriot,F-ACMH,555,3.0,2.0,1.0,3,2.0,1.0,0.0,Went down into the English Channel while en route.,"(51.072787, 1.133598)",51.072787,1.133598,United Kingdom,United Kingdom,correct location
70,70,07/04/1922,1922,,"Fuhlsbuttel, Germany",,Hamburg - Berlin,LVG C VI,Other,,,3.0,2.0,1.0,2,1.0,1.0,0.0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).","(53.629662, 9.994545)",53.629662,9.994545,Germany,Germany,correct location
71,71,07/16/1922,1922,16:45,"Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Strasbourg - Paris,Potez 29,Other,F-FREI,25,5.0,4.0,1.0,5,4.0,1.0,0.0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,"(48.740076, 7.359064)",48.740076,7.359064,France,France,correct location
72,72,07/26/1922,1922,,"Cadix, Spain",Grands Express Aeriens,,Breguet 14,Breguet,F-ALVE,117,3.0,2.0,1.0,3,2.0,1.0,0.0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.","(36.518753, -6.279529)",36.518753,-6.279529,Spain,Spain,correct location
73,73,09/07/1922,1922,,"Indianapolis, Indiana",US Aerial Mail Service,,De Havilland DH-4,deHavilland,227,,1.0,0.0,1.0,1,0.0,1.0,0.0,The plane stalled shortly after takeoff and crashed.,"(39.785871, -86.143448)",39.785871,-86.143448,United States,United States,correct location
74,74,10/02/1922,1922,,"Venice, Italy",de Havilland Air Service,Venice - London,de Havilland DH-9,deHavilland,G-EAYT,14,4.0,3.0,1.0,4,3.0,1.0,0.0,Shortly after taking off the plane crashed into the sea and sank.,"(45.581192, 12.561157)",45.581192,12.561157,Italy,Italy,correct location
75,75,10/25/1922,1922,,"Larache, Morocco",Grands Express Aeriens,,Breguet 14,Breguet,,,2.0,1.0,1.0,2,1.0,1.0,0.0,Crashed under unknown circumstances.,"(35.179786, -6.135218)",35.179786,-6.135218,Morocco,Morocco,correct location
76,76,12/03/1922,1922,,"Fez, Morocco",Grands Express Aeriens,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,Breguet,F-ALNA,14,1.0,0.0,1.0,1,0.0,1.0,0.0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,"(34.05838, -4.97604)",34.05838,-4.97604,Morocco,Morocco,correct location
77,77,01/10/1923,1923,,"Ajaccio, France",Amee de l'Air,,LiorÃ©-et-Olivier H-13,Liore et Olivier,F-AEIB,4,4.0,2.0,2.0,3,1.0,2.0,0.0,The plane crashed mid-air due to a structural failure of the tail.,"(41.926997, 8.735367)",41.926997,8.735367,France,France,correct location
78,78,01/17/1923,1923,,"Barcelona, Spain",Grands Express Aeriens,,Breguet 14,Breguet,F-ALJU,6083-130,1.0,0.0,1.0,1,0.0,1.0,0.0,Crashed into a mountain during a snowstorm.,"(41.400347, 2.159592)",41.400347,2.159592,Spain,Spain,correct location
79,79,01/18/1923,1923,,"Cheyenne, Wyoming",US Aerial Mail Service,,De Havilland DH-4,deHavilland,223,,1.0,0.0,1.0,1,0.0,1.0,0.0,Crashed during a mail flight.,"(41.138437, -104.812406)",41.138437,-104.812406,United States,United States,correct location
80,80,02/26/1923,1923,,"Meadville, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,deHavilland,291,,1.0,0.0,1.0,1,0.0,1.0,0.0,The pilot lost control of the aircraft  while on approach in poor weather conditions.,"(41.640599, -80.14844)",41.640599,-80.14844,United States,United States,correct location
81,81,05/14/1923,1923,13:42,"Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Paris - London,Farman F-60 Goliath,Farman,F-AEBY,15,6.0,4.0,2.0,6,4.0,2.0,0.0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.","(49.899796, 2.2163)",49.899796,2.2163,France,France,correct location
82,82,08/27/1923,1923,17:30,"East Mallling, United Kingdom",Air Union,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,Farman,F-AECB,4,11.0,9.0,2.0,1,1.0,0.0,0.0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.","(-8.086424, 112.5)",-8.086424,112.5,United Kingdom,Indonesia,not correct location
83,83,08/27/1923,1923,,"Bucharest, Romania",Campagnie France Roumaine,,BlÃ©riot Spad 46,Bleriot,F-AEGN,28,2.0,1.0,1.0,2,1.0,1.0,0.0,Crashed while on approach to Bucharesst.,"(44.435842, 26.085733)",44.435842,26.085733,Romania,Romania,correct location
84,84,09/07/1923,1923,,"Colton, Ohio",US Aerial Mail Service,,De Havilland DH-4,deHavilland,283,,1.0,0.0,1.0,1,0.0,1.0,0.0,Crashed during an emergency landing attempt.,"(34.059181, -117.318795)",34.059181,-117.318795,United States,United States,correct location
85,85,09/14/1923,1923,18:00,"Ivinghoe, Buckinghamshire, England",Daimler Airways,Croydon - Manchester,de Havilland DH-34,deHavilland,G-EBBS,29,5.0,3.0,2.0,5,3.0,2.0,0.0,Crashed while attempting a forced landing after encountering heavy rain.,"(51.83602, -0.62983)",51.83602,-0.62983,United Kingdom,United Kingdom,correct location
86,86,11/18/1923,1923,,Russia,CCCP,,Junkers F-13,Junkers,D-257,,5.0,2.0,3.0,3,1.0,2.0,0.0,Crashed during a training flight.,"(63.314433, 93.873642)",63.314433,93.873642,Russia,Russia,correct location
87,87,12/06/1923,1923,,"Castalia, Ohio",US Aerial Mail Service,,De Havilland DH-4,deHavilland,318,,1.0,0.0,1.0,1,0.0,1.0,0.0,Crashed under unknown circumstances.,"(39.987142, -0.037787)",39.987142,-0.037787,United States,Spain,not correct location
88,88,12/23/1923,1923,02:30,Mediterranean Sea,Military - French Navy,Toulon - Algiers,Zeppelin Dixmunde (airship),Zeppelin,L-72,,52.0,,,52,,,0.0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.","(39.112414, -84.516668)",39.112414,-84.516668,Mediterranean Sea,United States,not correct location
89,89,12/24/1923,1923,,"Egbert, WY",US Aerial Mail Service,,De Havilland DH-4,deHavilland,315,,1.0,0.0,1.0,1,0.0,1.0,0.0,Crashed into a montain in poor weather conditions.,"(41.1697, -104.2569)",41.1697,-104.2569,WY,United States,not correct location
90,90,03/07/1924,1924,,"Grampian, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,deHavilland,327,,1.0,0.0,1.0,1,0.0,1.0,0.0,Crashed during a snowstorm.,"(40.96368, -78.610193)",40.96368,-78.610193,United States,United States,correct location
91,91,04/24/1924,1924,,English Channel,KLM Royal Dutch Airlines,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,Fokker,H-NABS,1535,3.0,2.0,1.0,3,2.0,1.0,0.0,The aircraft disappeared over the North Sea. The plane and passengers were never found.,"(39.112414, -84.516668)",39.112414,-84.516668,English Channel,United States,not correct location
