,Unnamed: 0,X,Date,Year,Time,Location,Operator,Route,AC.Type,Manufacturer,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Summary,Coordinates,Latitude,Longitude,LatitudeNoise,LongitudeNoise
10,11,11,10/01/1916,1916,23:45,"Potters Bar, England",Military - German Navy,,Zeppelin L-31 (airship),Zeppelin,,,19.0,0.0,19.0,19,0.0,19.0,0.0,Shot down in flames by the British 39th Home Defence Squadron.,"(51.692886, -0.192891)",51.692886,-0.192891,52.28617174556333,-4.243911855726238
11,12,12,11/21/1916,1916,,"Mainz, Germany",Military - German Army,,Super Zeppelin (airship),Other,,,28.0,,,27,,,0.0,Crashed in a storm.,"(49.997895, 8.253032)",49.997895,8.253032,51.601955737149915,6.905888288545506
12,13,13,11/28/1916,1916,23:45,"Off West Hartlepool, England",Military - German Navy,,Zeppelin L-34 (airship),Zeppelin,,,20.0,,,20,,,0.0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,"(54.693274, -1.223038)",54.693274,-1.223038,56.18144530101874,0.7579774444172773
13,14,14,03/04/1917,1917,,"Near Gent, Belgium",Military - German Army,,Airship,Other,,,20.0,,,20,,,0.0,Caught fire and crashed.,"(51.057496, 3.732703)",51.057496,3.732703,48.27600077033751,4.8966175167354695
14,15,15,03/30/1917,1917,,Off Northern Germany,Military - German Navy,,Schutte-Lanz S-L-9 (airship),Other,,,23.0,,,23,,,0.0,Struck by lightning and crashed into the Baltic Sea.,"(50.970097, 9.687096)",50.970097,9.687096,51.8530826434808,7.770560737546534
15,16,16,05/14/1917,1917,05:15,"Near Texel Island, North Sea",Military - German Navy,,Zeppelin L-22 (airship),Zeppelin,,,21.0,,,21,,,0.0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.","(64.779262, -18.673522)",64.779262,-18.673522,59.91370017441467,-19.203496301625144
16,17,17,06/14/1917,1917,08:45,"Off Vlieland Island, North Sea",Military - German Navy,,Zeppelin L-43 (airship),Zeppelin,,,24.0,,,24,,,0.0,Shot down by British aircraft.,"(64.779262, -18.673522)",64.779262,-18.673522,66.74556177510472,-21.323603861888785
17,18,18,06/17/1917,1917,,"Near Yarmouth, England",,,Zepplin LZ-95 (air ship),Zeppelin,L-48,,16.0,,,14,,,0.0,Shot down by aircraft.,"(43.836285, -66.082128)",43.836285,-66.082128,43.60181324705985,-64.91808570080916
18,19,19,08/21/1917,1917,07:00,Off western Denmark,Military - German Navy,,Zeppelin L-23 (airship),Zeppelin,,,18.0,,,18,,,0.0,Shot down by British aircraft.,"(55.966966, 9.018163)",55.966966,9.018163,56.57391576970563,6.024078954908174
19,20,20,10/20/1917,1917,07:45,"Near Luneville, France",Military - German Navy,,Zeppelin L-44 (airship),Zeppelin,,,18.0,,,18,,,0.0,Shot down by French anti-aircraft fire.,"(48.589904, 6.500118)",48.589904,6.500118,46.710909934777135,4.870120794416484
20,21,21,04/07/1918,1918,21:30,Over the Mediterranean,Military - German Navy,,Zeppelin L-59 (airship),Zeppelin,,,23.0,,,23,,,0.0,Exploded and crashed into the sea off the southern coast of Italy.,"(39.112414, -84.516668)",39.112414,-84.516668,36.565848645699866,-84.37901048752165
21,22,22,05/10/1918,1918,,"Off Helgoland Island, Germany",Military - German Navy,,Zeppelin L-70 (airship),Zeppelin,,,22.0,,,22,,,0.0,"Shot down by British aircraft crashing from a height of 17,000 ft.","(64.779262, -18.673522)",64.779262,-18.673522,66.43499500801016,-18.173444778384393
22,23,23,08/11/1918,1918,10:00,"Ameland Island, North Sea",Military - German Navy,,Zeppelin L-53 (airship),Zeppelin,,,19.0,,,19,,,0.0,Shot down by british aircraft.,"(64.779262, -18.673522)",64.779262,-18.673522,63.52937539681494,-17.822857271107264
23,24,24,12/16/1918,1918,,"Elizabeth, New Jersey",US Aerial Mail Service,,De Havilland DH-4,deHavilland,97,,1.0,0.0,1.0,1,0.0,1.0,0.0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,"(40.666597, -74.186213)",40.666597,-74.186213,39.120295959767844,-77.34877632793047
24,25,25,05/25/1919,1919,,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,deHavilland,61,,1.0,0.0,1.0,1,0.0,1.0,0.0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,"(41.496551, -81.651327)",41.496551,-81.651327,40.506718863970015,-79.83256368473161
25,26,26,07/19/1919,1919,,"Dix Run, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,deHavilland,82,,1.0,0.0,1.0,1,0.0,1.0,0.0,The mail plane crashed under unknown circumstances.,"(42.452871, -85.688469)",42.452871,-85.688469,43.67195349659303,-86.95626583874333
26,27,27,07/21/1919,1919,16:55,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,Shuttle,FD Type Dirigible,Other,,,,,,3,2.0,1.0,10.0," The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed","(41.87897, -87.66063)",41.87897,-87.66063,42.53927800148455,-91.64150145734078
27,28,28,08/02/1919,1919,,"Verona, Italy",Caproni Company,Venice  Taliedo,Caproni Ca.48,Other,,,14.0,12.0,2.0,14,12.0,2.0,0.0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,"(45.413277, 10.977656)",45.413277,10.977656,44.1480695097716,9.928286222615561
28,29,29,10/02/1919,1919,,"Newcastle, England",Aircraft Transport and Travel,,De Havilland DH-4,deHavilland,,,1.0,0.0,1.0,1,0.0,1.0,0.0,,"(-27.729174, 29.934668)",-27.729174,29.934668,-30.92850543594536,32.27737540791276
29,30,30,10/14/1919,1919,,"Cantonsville, Maryland",US Aerial Mail Service,,Curtiss R-4LM,Curtiss,32,,1.0,0.0,1.0,1,0.0,1.0,0.0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.","('', '')",,,,
30,31,31,10/20/1919,1919,,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,,De Havilland DH-4,deHavilland,G-EAHG,,0.0,0.0,1.0,0,0.0,0.0,0.0,Crashed into the sea while attempting to land in fog.,"(26.206054, 84.158442)",26.206054,84.158442,23.69823912222135,83.8300138997311
31,32,32,10/30/1919,1919,,"Long Valley, New Jersey",US Aerial Mail Service,,De Havilland DH.4,deHavilland,77,77,1.0,0.0,1.0,1,0.0,1.0,0.0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.","(40.788276, -74.791371)",40.788276,-74.791371,40.428637522482724,-78.81012376789239
32,33,33,12/11/1919,1919,,"Catherham, Surrey, UK",Aircraft Travel Transport,Paris - Hounslow,de Havilland DH-4,deHavilland,G-EAHF,,1.0,1.0,1.0,1,1.0,1.0,0.0,Crashed in a field while attemptting to land.,"('', '')",,,,
33,34,34,03/10/1920,1920,,"New Paris, Indiana",US Aerial Mail Service,,De Havilland DH-4,deHavilland,65,,1.0,0.0,1.0,1,0.0,1.0,0.0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.","(40.12839, -83.95966)",40.12839,-83.95966,38.96131820707829,-84.61625323981221
34,35,35,03/30/1920,1920,,"Newark, New Jersey",US Aerial Mail Service,Washington - Newark,De Havilland DH-4,deHavilland,72,,1.0,0.0,1.0,1,0.0,1.0,0.0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,"(40.718619, -74.185148)",40.718619,-74.185148,37.3511722806244,-73.89697402102627
35,36,36,04/10/1920,1920,,"Newark, New Jersey",US Aerial Mail Service,,Curtiss R-4LM,Curtiss,49,,2.0,1.0,1.0,1,0.0,1.0,0.0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,"(40.718619, -74.185148)",40.718619,-74.185148,40.35126008082226,-75.03944194427558
36,37,37,04/11/1920,1920,,"Heller Field, New Jersey",US Aerial Mail Service,,Curtiss JN-4H,Curtiss,44,,2.0,1.0,1.0,1,0.0,1.0,0.0,The aircraft crashed while on approach for unknown reasons.,"(51.925192, 7.407121)",51.925192,7.407121,51.209599561994466,10.699088454148196
37,38,38,05/12/1920,1920,,"Oskaloosa, Iowa",US Aerial Mail Service,,De Havilland DH-4,deHavilland,79,,2.0,1.0,1.0,1,1.0,0.0,0.0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.","(41.296373, -92.647379)",41.296373,-92.647379,38.05858865261249,-92.58123509929311
38,39,39,06/06/1920,1920,,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,deHavilland,204,,1.0,0.0,1.0,1,0.0,1.0,0.0,The aircraft suffered engine failure and crashed shortly after taking off.,"(41.496551, -81.651327)",41.496551,-81.651327,46.17845657005019,-79.23986630282228
39,40,40,07/20/1920,1920,,"Cartagena, Columbia",CompaÃ±ia Colombiana de NavegaciÃ³n AÃ©rea,,Farman F-40,Farman,,,1.0,1.0,1.0,1,1.0,1.0,0.0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,"(10.423583, -75.546862)",10.423583,-75.546862,6.196525053015875,-78.22680612034607
40,41,41,08/16/1920,1920,,"Bedford, England",By Air,,Armstrong-Whitworth F-K-8,Other,G-EALW,,1.0,0.0,1.0,1,0.0,1.0,0.0,The plane crashed during a cargo flight under unknown circumstances.,"(52.131228, -0.45503)",52.131228,-0.45503,53.640930292609845,1.8917124176524627
41,42,42,08/16/1920,1920,,"College Park, Maryland",US Aerial Mail Service,,De Havilland DH-4,deHavilland,317,,1.0,0.0,1.0,1,0.0,1.0,0.0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.","(33.639297, -84.459095)",33.639297,-84.459095,32.01998978506906,-86.1822059090733
42,43,43,09/01/1920,1920,,"Morristown, New Jersey",US Aerial Mail Service,,Junkers JL-6,Junkers,305,,2.0,0.0,2.0,2,0.0,2.0,0.0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.","(36.220856, -83.28423)",36.220856,-83.28423,35.92025431905935,-86.68925341061941
43,44,44,09/15/1920,1920,,"Pemberville, Ohio",US Aerial Mail Service,,Junkers F-13,Junkers,308,,2.0,,,2,,,0.0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,"(41.409046, -83.459961)",41.409046,-83.459961,41.70862794753059,-81.69307037728683
44,45,45,09/27/1920,1920,,"Hillersburg, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,deHavilland,316,,1.0,0.0,1.0,1,0.0,1.0,0.0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,"('', '')",,,,
45,46,46,10/02/1920,1920,,"Off Port Vendres, France",Latecoere Airlines,,Salmson 2-A-2,Other,F-ALAI,31,2.0,1.0,1.0,2,1.0,1.0,0.0,Crashed into the Mediterranean while on a mail flight.,"(42.518399, 3.107051)",42.518399,3.107051,42.00635864405341,7.681857041234725
46,47,47,10/05/1920,1920,,"Valencia, Spain",Latecoere Airlines,,Breguet 14,Breguet,F-ALTA,20,2.0,1.0,1.0,2,1.0,1.0,0.0,While on a mail flight the plane crashed while attempting to land.,"(10.231927, -67.981967)",10.231927,-67.981967,11.687155316336916,-69.01510327610693
47,48,48,10/15/1920,1920,,"Batavia, Illinois",US Aerial Mail Service,,De Havilland DH-4,deHavilland,76,,1.0,0.0,1.0,1,0.0,1.0,0.0,While attempting to land in fog the aircraft hit an obstruction and crashed.,"(41.855656, -88.293785)",41.855656,-88.293785,42.06529471290091,-90.35076196681071
48,49,49,11/07/1920,1920,,"Tie Siding, Wyoming",US Aerial Mail Service,,De Havilland DH-4,deHavilland,,178,1.0,0.0,1.0,1,0.0,1.0,0.0,The aircraft crashed into a mountain in poor weather condtions.,"(41.08026, -105.50749)",41.08026,-105.50749,39.39321789192098,-104.65651375222043
49,50,50,12/14/1920,1920,12:15,"London, England",Handley Page Transport,London - Paris,Handley Page HP-16,Handley Page,G-EAMA,HP-25,8.0,6.0,2.0,4,2.0,2.0,0.0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,"(51.509648, -0.099076)",51.509648,-0.099076,51.68411020582101,-0.876729558199018
50,51,51,12/24/1920,1920,,"Barcelona, Spain",Aeropostale,,Breguet 14,Breguet,F-ALBO,57,1.0,0.0,1.0,1,0.0,1.0,0.0,The aircraft stalled and crashed when an engine failed.,"(41.400347, 2.159592)",41.400347,2.159592,40.492087753685084,2.7678600629810903
51,52,52,02/03/1921,1921,,"Mendotta, Minnisota",US Aerial Mail Service,,De Havilland DH-4,deHavilland,130,,1.0,0.0,1.0,1,0.0,1.0,0.0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,"('', '')",,,,
52,53,53,02/09/1921,1921,,"La Crosse, Wisconsin",US Aerial Mail Service,,Junkers F-13,Junkers,301,,3.0,0.0,3.0,3,0.0,3.0,0.0,Crashed for unknown reasons. Both pilots and the mechanic were killed.,"(43.808506, -91.242382)",43.808506,-91.242382,44.92087739827296,-93.24869196962625
53,54,54,02/15/1921,1921,,Off Gibraltar,Aeropostale,,Breguet 14,Breguet,F-ALBA,,2.0,0.0,2.0,2,0.0,2.0,0.0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,"(36.136159, -5.348677)",36.136159,-5.348677,32.806157810180046,-6.607340300982783
54,55,55,02/22/1921,1921,,"Elko, Nevada",US Aerial Mail Service,,De Havilland DH-4,deHavilland,67,,1.0,0.0,1.0,1,0.0,1.0,0.0,"Shortly after taking off, the aircraft stalled and crashed .","(40.832322, -115.770579)",40.832322,-115.770579,42.16274919264512,-117.97113460601824
55,56,56,04/06/1921,1921,,"Point Cook, Australia",Military - Royal Australian Air Force,,  	 Avro 504,Avro,H3021,,2.0,0.0,0.0,2,0.0,0.0,0.0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.","(-37.90884, 144.752587)",-37.90884,144.752587,-37.890001909098096,145.12141229066054
56,57,57,04/21/1921,1921,,"Mitchel Field, NY",US Aerial Mail Service,,De Havilland DH-4,deHavilland,160,,1.0,0.0,1.0,1,0.0,1.0,0.0,After taking off the aircraft stalled and crashed.,"(54.172053, -6.338251)",54.172053,-6.338251,53.40783773289129,-4.3277616853378955
57,58,58,04/29/1921,1921,,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,deHavilland,196,,1.0,0.0,1.0,1,0.0,1.0,0.0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.","(41.496551, -81.651327)",41.496551,-81.651327,40.751354738483265,-77.69391407904051
58,59,59,05/17/1921,1921,,"Rock Springs, Wyoming",US Aerial Mail Service,,De Havilland DH-4 De Havilland DH-4,deHavilland,176,,1.0,0.0,1.0,1,0.0,1.0,0.0,Crashed while attempting to land.,"(41.594274, -109.246355)",41.594274,-109.246355,41.18732661084793,-112.28921736972546
59,60,60,08/14/1921,1921,,"Toulouse, France",Aeropostale,,Breguet 14,Breguet,F-ALBI,,2.0,,,2,,,0.0,,"(43.603902, 1.440694)",43.603902,1.440694,42.92761169548246,2.560749872804103
60,61,61,08/24/1921,1921,17:40,"River Humber, England",Military - Royal Airship Works,,Royal Airship Works ZR-2 (airship),Other,R-38,R-38,46.0,0.0,46.0,46,0.0,46.0,1.0,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,"(5.574595, 8.39357)",5.574595,8.39357,6.648262607382509,6.512060884749307
61,62,62,09/06/1921,1921,,"Paris, France",Franco-Roumaine,Warsaw - Prague - Strasbourg - Paris,Potez IX,Other,F-ADCD,160,5.0,4.0,1.0,5,4.0,1.0,0.0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,"(48.858705, 2.342865)",48.858705,2.342865,48.01245082611533,4.95984610577767
62,63,63,12/05/1921,1921,,"Near Murchinson River, Australia",West Australian Airways,Geraldton - Derby,Bristol 28 Tourer,Bristol,G-AUDI,6116,2.0,0.0,2.0,2,0.0,2.0,0.0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,"(30.727259, -98.39747)",30.727259,-98.39747,32.03259027843888,-97.85988430687625
63,64,64,01/14/1922,1922,,"Paris, France",Handley Page Transport,,Handley Page O/10,Handley Page,G-EATN,HP-43,5.0,4.0,1.0,5,4.0,1.0,5.0,Crashed at Le Bourget field.,"(48.858705, 2.342865)",48.858705,2.342865,45.83985587966024,3.2546484977978087
64,65,65,02/21/1922,1922,,"Near Norfolk, Virginia",Military - U.S. Army Air Service,,Dirigible Roma (airship),Other,,,45.0,,,34,,,0.0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,"(-29.033042, 167.954531)",-29.033042,167.954531,-29.223442923526537,169.65787941434897
65,66,66,03/22/1922,1922,11:40,North Atlantic Ocean,Aero Limited,Miami - Bimini,Aeromarine Model 85 (flying boat),Other,,,6.0,5.0,1.0,5,5.0,0.0,0.0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.","(38.309137, -101.328273)",38.309137,-101.328273,40.68246746095532,-101.89655699970487
66,67,67,04/07/1922,1922,13:15,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,deHavilland,G-EAOW/FGEAD,4,7.0,5.0,2.0,7,5.0,2.0,0.0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.","(49.664295, 1.942836)",49.664295,1.942836,46.37874713799556,1.3027753791566514
67,68,68,04/08/1922,1922,,"Pao Ting Fou, China",,Test,,Missing value,,,17.0,0.0,17.0,17,0.0,17.0,0.0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.,"(52.528443, 13.402443)",52.528443,13.402443,55.87470900567259,11.653539667891517
68,69,69,06/03/1922,1922,,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Croydon - Paris,Bleriot Spad 27,Bleriot,F-ACMH,555,3.0,2.0,1.0,3,2.0,1.0,0.0,Went down into the English Channel while en route.,"(51.072787, 1.133598)",51.072787,1.133598,51.89582093543743,2.812975237570164
69,70,70,07/04/1922,1922,,"Fuhlsbuttel, Germany",,Hamburg - Berlin,LVG C VI,Other,,,3.0,2.0,1.0,2,1.0,1.0,0.0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).","(53.629662, 9.994545)",53.629662,9.994545,54.75966850107621,10.233228035434209
70,71,71,07/16/1922,1922,16:45,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Strasbourg - Paris,Potez 29,Other,F-FREI,25,5.0,4.0,1.0,5,4.0,1.0,0.0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,"(48.740076, 7.359064)",48.740076,7.359064,52.08422315506809,6.308720114055181
71,72,72,07/26/1922,1922,,"Cadix, Spain",Grands Express Aeriens,,Breguet 14,Breguet,F-ALVE,117,3.0,2.0,1.0,3,2.0,1.0,0.0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.","(36.518753, -6.279529)",36.518753,-6.279529,35.372930624419006,-7.40111547380169
72,73,73,09/07/1922,1922,,"Indianapolis, Indiana",US Aerial Mail Service,,De Havilland DH-4,deHavilland,227,,1.0,0.0,1.0,1,0.0,1.0,0.0,The plane stalled shortly after takeoff and crashed.,"(39.785871, -86.143448)",39.785871,-86.143448,40.017919094085414,-89.5245890199747
73,74,74,10/02/1922,1922,,"Venice, Italy",de Havilland Air Service,Venice - London,de Havilland DH-9,deHavilland,G-EAYT,14,4.0,3.0,1.0,4,3.0,1.0,0.0,Shortly after taking off the plane crashed into the sea and sank.,"(45.581192, 12.561157)",45.581192,12.561157,45.73155833890201,11.342231837961771
74,75,75,10/25/1922,1922,,"Larache, Morocco",Grands Express Aeriens,,Breguet 14,Breguet,,,2.0,1.0,1.0,2,1.0,1.0,0.0,Crashed under unknown circumstances.,"(35.179786, -6.135218)",35.179786,-6.135218,32.747515677340104,-5.300782810949036
75,76,76,12/03/1922,1922,,"Fez, Morocco",Grands Express Aeriens,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,Breguet,F-ALNA,14,1.0,0.0,1.0,1,0.0,1.0,0.0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,"(34.05838, -4.97604)",34.05838,-4.97604,33.17343461944397,-5.870226170169138
76,77,77,01/10/1923,1923,,"Ajaccio, France",Amee de l'Air,,LiorÃ©-et-Olivier H-13,Liore et Olivier,F-AEIB,4,4.0,2.0,2.0,3,1.0,2.0,0.0,The plane crashed mid-air due to a structural failure of the tail.,"(41.926997, 8.735367)",41.926997,8.735367,43.2613367735174,9.574533406257231
77,78,78,01/17/1923,1923,,"Barcelona, Spain",Grands Express Aeriens,,Breguet 14,Breguet,F-ALJU,6083-130,1.0,0.0,1.0,1,0.0,1.0,0.0,Crashed into a mountain during a snowstorm.,"(41.400347, 2.159592)",41.400347,2.159592,41.4895245001461,2.4634595840576763
78,79,79,01/18/1923,1923,,"Cheyenne, Wyoming",US Aerial Mail Service,,De Havilland DH-4,deHavilland,223,,1.0,0.0,1.0,1,0.0,1.0,0.0,Crashed during a mail flight.,"(41.138437, -104.812406)",41.138437,-104.812406,39.783630087936665,-104.45503773315902
79,80,80,02/26/1923,1923,,"Meadville, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,deHavilland,291,,1.0,0.0,1.0,1,0.0,1.0,0.0,The pilot lost control of the aircraft  while on approach in poor weather conditions.,"(41.640599, -80.14844)",41.640599,-80.14844,40.869959826626,-81.85171131965124
80,81,81,05/14/1923,1923,13:42,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Paris - London,Farman F-60 Goliath,Farman,F-AEBY,15,6.0,4.0,2.0,6,4.0,2.0,0.0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.","(49.899796, 2.2163)",49.899796,2.2163,51.687294017592826,4.388021310869394
81,82,82,08/27/1923,1923,17:30,"East Mallling, United Kingdom",Air Union,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,Farman,F-AECB,4,11.0,9.0,2.0,1,1.0,0.0,0.0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.","(-8.086424, 112.5)",-8.086424,112.5,-10.772940436914283,113.1061092023081
82,83,83,08/27/1923,1923,,"Bucharest, Romania",Campagnie France Roumaine,,BlÃ©riot Spad 46,Bleriot,F-AEGN,28,2.0,1.0,1.0,2,1.0,1.0,0.0,Crashed while on approach to Bucharesst.,"(44.435842, 26.085733)",44.435842,26.085733,44.19649749404735,29.457306361717
