,Unnamed: 0.1,Unnamed: 0,X,Date,Year,Time,Location,Operator,Route,AC.Type,Manufacturer,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Summary,Coordinates,Latitude,Longitude,LatitudeNoise,LongitudeNoise
80,80,81,81,05/14/1923,1923,13-14,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Paris - London,Farman F-60 Goliath,Farman,F-AEBY,15,6.0,4.0,2.0,6,4.0,2.0,0.0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.","(49.899796, 2.2163)",49.899796,2.2163,51.687294017592826,4.388021310869394
81,81,82,82,08/27/1923,1923,17-18,"East Mallling, United Kingdom",Air Union,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,Farman,F-AECB,4,11.0,9.0,2.0,1,1.0,0.0,0.0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.","(-8.086424, 112.5)",-8.086424,112.5,-10.772940436914284,113.1061092023081
84,84,85,85,09/14/1923,1923,18-19,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,Croydon - Manchester,de Havilland DH-34,deHavilland,G-EBBS,29,5.0,3.0,2.0,5,3.0,2.0,0.0,Crashed while attempting a forced landing after encountering heavy rain.,"(51.83602, -0.62983)",51.83602,-0.62983,52.40845230908715,0.6999060985670474
87,87,88,88,12/23/1923,1923,02-03,Over the Mediterranean Sea,Military - French Navy,Toulon - Algiers,Zeppelin Dixmunde (airship),Zeppelin,L-72,,52.0,,,52,,,0.0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.","(39.112414, -84.516668)",39.112414,-84.516668,38.310775334442575,-87.25561857863926
95,95,96,96,12/24/1924,1924,12-13,"Purley, England",Imperial Airways,London - Paris,de Havilland DH-34B,deHavilland,G-EBBX,36,8.0,7.0,1.0,8,7.0,1.0,0.0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.","(33.09123, -95.26217)",33.09123,-95.26217,31.85021058919205,-95.8150370863754
102,102,103,103,09/03/1925,1925,05-06,"Caldwell, Ohio",Military - U.S. Navy,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),Other,ZR-1,,43.0,,,14,,,0.0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.","(43.6591, -116.680967)",43.6591,-116.680967,44.75475767669087,-117.72046760437873
110,110,111,112,07/09/1926,1926,09-10,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,Fokker,H-NACC,4759,2.0,1.0,1.0,2,1.0,1.0,0.0,Crashed into the ground while descending in poor weather.,"(50.953922, 4.311837)",50.953922,4.311837,52.25077930843387,1.7593643237988354
114,114,115,116,10/02/1926,1926,15-16,"Leigh, Kent, Unied Kingdom",Air Union,Paris - London,Bleriot 155,Bleriot,F- AICQ,1,7.0,5.0,2.0,7,5.0,2.0,0.0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..","(53.49518, -2.517835)",53.49518,-2.517835,50.03823471930548,-4.196725547912685
116,116,117,118,10/21/1926,1926,13-14,English Channel,Imperial Airways,Croydon - Paris,Handley Page W-10,Handley Page,G-EBMS,W10/3,12.0,10.0,2.0,0,0.0,0.0,0.0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.","(26.206054, 84.158442)",26.206054,84.158442,28.17189253433121,83.69017017498787
117,117,118,119,11/11/1926,1926,08-09,"Cape Bojador, Morocco",Grands Express Aeriens,Casablanca -Dakar,Breguet 14,Breguet,F-AFAX,198,3.0,3.0,0.0,3,3.0,0.0,0.0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.","(26.12398, -14.48622)",26.12398,-14.48622,24.967394164515216,-18.91667453154799
127,127,128,129,08/22/1927,1927,08-09,"Sevenoaks, England",KLM Royal Dutch Airlines,Croydon - Schiphol,Fokker F-VIII,Fokker,H-NADU H-NADU,4993,11.0,9.0,2.0,1,0.0,1.0,0.0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.","(51.272414, 0.195466)",51.272414,0.195466,52.57669347021829,1.4480340165410996
130,130,131,132,09/17/1927,1927,04-05,Atlantic Ocean,Private,Old Orchad Beach - Rome,Fokker F7,Fokker,NX703,4899/0501,3.0,1.0,2.0,3,1.0,2.0,0.0,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight.","(39.377094, -74.451563)",39.377094,-74.451563,39.80520564017934,-75.34842456200067
131,131,132,133,09/23/1927,1927,10-11,"Schleiz, Germany",Deutsche Lufthansa,Berlin - Munich,Dornier Merkur,Dornier,D-585,075,6.0,4.0,2.0,6,4.0,2.0,0.0,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.,"(50.577409, 11.80898)",50.577409,11.80898,52.22533620899594,10.777120442410643
155,155,156,157,07/24/1928,1928,14-15,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,Sightseeing over Rotterdam,Fokker (KLM) F.III,Fokker,H-NABR,1533 (KLM-1),6.0,5.0,1.0,1,1.0,0.0,0.0,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven.","(51.890865, 4.439906)",51.890865,4.439906,55.37234941934033,4.887712321379079
156,156,157,158,08/25/1928,1928,11-12,"Near Port Townsend, BC, Canada",British Columbia Airways,Victoria - Seattle,Ford 4-AT-B Tri Motor,Ford,G-CATX,4-AT-26,7.0,5.0,2.0,7,5.0,2.0,0.0,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.,"(48.123093, -122.78284)",48.123093,-122.78284,47.99376053181388,-123.6336447678184
157,157,158,159,09/02/1928,1928,91-00,"Toul, France",CIDNA,Toul - Clermont-Ferrand,Bleriot Spad 33,Bleriot,F-AIEP,5/4207,5.0,2.0,3.0,5,2.0,3.0,0.0,"After taking off the engine failed, the plane stalled and crashed.","(48.67443, 5.891266)",48.67443,5.891266,46.98524383307473,4.775212741034072
159,159,160,161,09/04/1928,1928,11-12,"Pocatello, Idaho",National Parks Airways,Great Falls - Pocatello - Salt Lake City,Fokker Super Universal,Fokker,NC7242,809,7.0,6.0,1.0,7,6.0,1.0,0.0,"While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times.","(42.864995, -112.439298)",42.864995,-112.439298,45.16938168422439,-114.47744500399496
168,168,169,170,12/01/1928,1928,10-11,"Spur, Texas",Sunbeam Air Transport Co.,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,Ford,NC7862,4-AT-47,5.0,4.0,1.0,5,4.0,1.0,0.0,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed. The plane was on a delivery flight.,"(33.478987, -100.857075)",33.478987,-100.857075,34.496113357903255,-99.21266818894291
169,169,170,171,12/03/1928,1928,08-09,"Near Rio de Janeiro,Brazil",Syndicato Condor,Sightseeing,Dornier Wal,Dornier,P-BACA,83,14.0,9.0,5.0,14,9.0,5.0,0.0,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastic limits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately.","(-22.935024, -43.518246)",-22.935024,-43.518246,-24.80114260317462,-43.43339081161702
170,170,171,172,12/10/1928,1928,10-11,"Spokan, Washington",Spokane Airways,Colfax - Spokane,Ford Tri-motor 4,Ford,NC7687,4-AT-045,5.0,3.0,2.0,5,3.0,2.0,0.0,The aircraft crashed while attempting to land in fog.,"('', '')",,,,
180,180,181,182,03/17/1929,1929,17-18,"Newark, New Jersey",Colonial Western Airlines,Sightseeing,Ford 5-AT-B Tri Motor,Ford,NC7683,4-AT-41,15.0,13.0,2.0,14,13.0,1.0,0.0,The plane was making the last of a number of sightseeing flights when two of it's three engines failed. The plane stalled and went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure followed by a stall during an emergency landing attempt.,"(40.718619, -74.185148)",40.718619,-74.185148,41.19612172593578,-75.72288689290518
181,181,182,183,03/30/1929,1929,09-10,"Near Beaumont, California",New Standard Airlines,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,Fokker,NC7888,617,4.0,3.0,1.0,4,3.0,1.0,0.0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.","(30.084818, -94.145006)",30.084818,-94.145006,30.48142450549631,-93.89292838203896
182,182,183,184,04/21/1929,1929,11-12,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,Ford,NC9636 / 28-037,4-AT-010,6.0,3.0,3.0,6,3.0,3.0,0.0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent.","(32.72793, -117.15529)",32.72793,-117.15529,33.85300693773814,-117.25143235470952
186,186,187,188,06/13/1929,1929,08-09,"Santiago de Cuba, Cuba",Pan American Airways,Santiago de Cuba - Havana,Fokker F-X,Fokker,NC9700,1010,5.0,1.0,4.0,2,1.0,1.0,0.0,"Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed. The plane was named ""Christopher Columbus"".","(20.02472, -75.82194)",20.02472,-75.82194,18.47491732173061,-75.34332947627237
188,188,189,190,06/17/1929,1929,11-12,"Off Dungeness, England",Imperial Airways,London - Paris - Basil - Zuric,Handley Page W-10,Handley Page,G-EBMT,W10/4,13.0,11.0,2.0,7,7.0,0.0,0.0,"The plane was over the English Channel, approximately 3 miles offshore, when an engine failed. The pilot attempted to return to the airport but the plane ditched into the English Channel. Failure of a connecting rod on a cylinder due to fatigue.The plane was named ""City of Ottawa.""","(30.74829, -81.46732)",30.74829,-81.46732,29.736664536368348,-78.42960257808072
190,190,191,192,06/29/1929,1929,21-22,"Near Lindau, Bavaria, Germany",Bodensee Aerolloyd,,Domier Delphin III (flying boat),Other,D-1620,151,5.0,4.0,1.0,5,4.0,1.0,0.0,The seaplane crashed into lake Constance while attempting to landing. The landing was hard and the plane broke in two and sank.,"(47.558444, 9.704194)",47.558444,9.704194,43.94933037359993,11.335811811532723
196,196,197,198,09/03/1929,1929,11-12,"Mt. Taylor, near Grants, New Mexico",Trans Continental Air Transport,Albuquerque - Los Angeles,Ford 5-AT-B Tri Motor,Ford,NC9649,5-AT-002,8.0,5.0,3.0,8,5.0,3.0,0.0,"Shortly after departing the aircraft crashed into a Mt Taylor after encountering a thunderstorm and turbulence. The plane was named ""The City of San Francisco.""","(-37.721231, 147.576286)",-37.721231,147.576286,-37.45708317232938,151.00917817067233
199,199,200,201,09/14/1929,1929,18-19,"Saint Catharines, Ontario",Skyways,Sightseeing,Travel Air 6000,Travel,CF-ABE,1024,6.0,5.0,1.0,6,5.0,1.0,0.0,The aircraft went out of control and crashed for unknown reasons.,"(43.270858, -79.261356)",43.270858,-79.261356,41.497418080293926,-78.07236656393356
203,203,204,205,10/26/1929,1929,18-19,"Off Spezia, Italy",Imperial Airways,Naples - Genoa,Short Calcutta (flying boat),Short,G-AADN,S748,7.0,5.0,2.0,7,5.0,2.0,0.0,"The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named ""City of Rome.""","(44.117043, 9.836761)",44.117043,9.836761,44.48355023174935,11.74401613405313
206,206,207,208,11/04/1929,1929,07-08,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Matamoros - Mexico City - Juarez,Lockheed Vega 5,Lockheed,NC46M,097,4.0,3.0,1.0,4,3.0,1.0,0.0,The mail plane crashed in dense fog.,"(20.40405, -97.28852)",20.40405,-97.28852,18.52498837342749,-97.52178659781654
207,207,208,209,11/06/1929,1929,10-11,"Near Godstone, Surrey, England",Deutsche Lufthansa,Croyden - Amsterdam - Berlin,Junkers G-24,Junkers,D-903,911,8.0,4.0,4.0,7,3.0,4.0,0.0,"After the plane's antenna wire struck the ground and was partially torn off, the pilot attempted to return to land but hit tree tops and crashed in rain and fog.","(51.25159, -0.067518)",51.25159,-0.067518,50.943395486760245,0.660910485079086
208,208,209,210,11/16/1929,1929,09-10,"Off Corsica, France",Air Union,Marseille - Ajaccio - Tunis,Liore et Olivier 190,Liore et Olivier,F-AIGB,1,3.0,0.0,3.0,3,0.0,3.0,0.0,"While flying along the Corsican coast, the aircraft crashed into the Mediterranean in fog. No trace of the plane was ever found.","(42.151607, 9.105924)",42.151607,9.105924,40.96266567595006,9.65798486622012
213,213,214,215,12/30/1929,1929,17-18,"Amarillo, Texas",Trans Continental Air Transport,Demonistration,Travel Air B6000,Travel,,,5.0,3.0,2.0,5,3.0,2.0,0.0,Crashed onto a golf course  while on approach during a demonstration flight.,"(35.221849, -101.840963)",35.221849,-101.840963,37.96118141972274,-105.6789360544394
216,216,217,218,01/19/1930,1930,18-19,"Oceanside, California",Maddux Airlines,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,Ford,NC9689,5-AT-046,16.0,14.0,2.0,16,14.0,2.0,0.0,"While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control.","(33.224992, -117.308423)",33.224992,-117.308423,29.003956011701376,-119.13646404053172
218,218,219,220,01/27/1930,1930,17-18,"Kansas City, Missouri",Central  Airlines (Universal Aviation Corporation),"Wichita - Kansas City, KS",Travel Air A6000A,Travel,,963,5.0,4.0,1.0,5,4.0,1.0,0.0,"While preparing to land, the plane side slipped and dived into the ground from a height of 500 ft. and caught fire. As quickly as the bodies were removed, a hastily mustered crew of pilots and mechanics from Universal Airlines  and Central Airlines, began removing all evidence of the accident, savagely fighting off reporters and photographers as they worked.","(39.106581, -94.731189)",39.106581,-94.731189,39.8317127923742,-97.65017216257353
221,221,222,223,04/18/1930,1930,17-18,"Jersey City, New Jersey",Canadian Colonial Airways,"Albany, NY - Jersey City, NJ",Fairchild 71,Fairchild,NC9148,634,4.0,3.0,1.0,4,3.0,1.0,0.0,Crashed into power lines 150 feet above the ground in fog.,"(40.710478, -74.072021)",40.710478,-74.072021,39.23145622025704,-75.34130769896086
226,226,227,228,07/21/1930,1930,15-16,"Near Meopham, Kent, England",Walcot Air Line,"London - Le touquet, France",Junkers F-13ge,Junkers,G-AAZK,,6.0,4.0,2.0,6,4.0,2.0,0.0,The plane crashed about 10 miles from it's destination. Possible buffeting or irregular ocillation of the horizontal stabilizer leading to separation of the left stabilizer.,"(51.364468, 0.358732)",51.364468,0.358732,49.77456049303057,-0.2378456887008238
227,227,228,229,08/22/1930,1930,15-16,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Prague - Bratislava,Ford 5-AT-C Tri Motor,Ford,OK-FOR,5-AT-050,11.0,10.0,1.0,10,9.0,1.0,0.0,Crashed when the pilot made a sharp turn to avoid a chimney and lost control of the aircraft.,"(49.400043, 15.590803)",49.400043,15.590803,49.108786515385184,16.263079885411138
230,230,231,232,10/05/1930,1930,02-03,"Near Beauvais, France",Military - British Air Ministry,"Cardington, England - Karachi, Pakistan",Royal Airship Works R-101,Other,G-FAAW,R-101,54.0,,,48,,,0.0,"The airship was on its inaugural flight from Cardington, England to Karachi, (Pakistan). During a storm on the first night, it suddenly nosedived, leveled briefly, then dived again crashing and burning. Preparations had been rushed for political reasons and there had been no full-speed test flight. In the wind and rain, the outer cover split open at the front so that the two forward gasbags ruptured simultaneously. Dropping ballast raised the nose, but only because there was also dynamic lift, which was promptly lost as speed was reduced, presumably to save the remaining gasbags.","(49.434164, 2.087193)",49.434164,2.087193,48.39673050548621,0.5677378653840419
231,231,232,233,10/06/1930,1930,09-10,"Dresden, Germany",Deutsche Lufthansa,Berlin - Vienna,Messerschmitt M-20B,Other,D-1930,443,8.0,6.0,2.0,8,6.0,2.0,0.0,Crashed into hill while attempting to land after running into a strong gust of wind..,"(51.055604, 13.731021)",51.055604,13.731021,51.56682552277339,13.276489013551608
238,238,239,240,11/18/1930,1930,20-21,"Techachapi Mountains, California",Pacific Air Transport,"Burbank, CA - Oakland, CA",Boeing 40,Boeing,NC5340,,3.0,0.0,3.0,3,0.0,3.0,,"Crashed into a mountainside at an altitude of 4,500  feet during a snowstorm.","(-33.685687, 150.407402)",-33.685687,150.407402,-34.67037027738095,149.56898895536446
240,240,241,242,01/08/1931,1931,22-23,"Melle, Belgium",Sabena,Brussels - London,Fokker F-VII,Fokker,OO-AIL,1930,2.0,0.0,2.0,2,0.0,2.0,0.0,"After deciding to return to his base because of fog, the pilot of the mail plane  lowered his altitude and struck the ground.","(52.150281, 8.458874)",52.150281,8.458874,52.11554851093496,12.163620614531643
245,245,246,247,03/21/1931,1931,13-14,"New South Wales, Australia",Australian National Airways,Sydney - Melbourne,Avro 10,Avro,VH-UMF,241,8.0,6.0,2.0,8,6.0,2.0,0.0,Crashed in the Snowy Mountains in poor weather conditions. Wreckage found 10/26/1958.,"(-32.494981, 146.586903)",-32.494981,146.586903,-35.07327486815823,147.0206751509752
246,246,247,248,03/31/1931,1931,10-11,"Bazaar, Kansas",Trans Continental and Western Air,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,Fokker,NC-999,1063,8.0,6.0,2.0,8,6.0,2.0,0.0,"Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed.","(38.253145, -96.50388)",38.253145,-96.50388,36.129489093040846,-97.58166188029251
248,248,249,250,05/05/1931,1931,23-00,"Burbank, California",Pacific Air Transport,San Diego - Los Angeles,Boeing 40,Boeing,NC5390,1044,2.0,0.0,2.0,2,0.0,2.0,0.0,The mail plane crashed into Las Tunas Canyon while attempting to land at  Burbank Airport in dense fog.,"(34.185797, -118.322584)",34.185797,-118.322584,33.17867593616733,-118.7520090430104
250,250,251,252,05/24/1931,1931,22-23,"Bellefonte, Pennsylvania",National Air Transport,,Boeing 95,Boeing,NC397E,1057,1.0,0.0,1.0,1,0.0,1.0,0.0,Crashed into a mountain and burned in poor visibility and icing conditions.,"(40.915216, -77.768685)",40.915216,-77.768685,39.90325491849445,-77.95041305919158
